srcid,FUV,NUV,U,R,G,I,Z,FUV_err,NUV_err,U_err,R_err,G_err,I_err,Z_err
1768,28.91330247865117,29.675001170869077,30.266350782230052,29.627419521302482,29.60907955718575,29.325259342253577,29.879905325777106,nan,nan,nan,nan,nan,nan,nan
58018,25.408454079005516,26.132690785541758,27.120406184742937,26.68656053916123,26.568151538462182,26.334968668019155,26.76766945337729,nan,nan,nan,nan,nan,nan,nan
4820,26.499821892568498,26.974832691063842,27.714134567763214,27.549012647328976,27.242043417122524,27.284560183852182,27.833210825605182,nan,nan,nan,nan,nan,nan,nan
13704,28.166411072886852,29.0670206875028,30.011859570545365,30.47818248006892,29.749689633337027,30.016257659737892,30.776445248096483,nan,nan,nan,nan,nan,nan,nan
73488,26.444237935180098,27.17759865017484,28.044193972981393,28.049316308600634,27.633017002788527,27.48928849258304,28.045712455714114,nan,nan,nan,nan,nan,nan,nan
27830,26.299694321399627,26.96424070966722,28.22289773018453,27.84657456385815,27.58552570072355,27.450213079400374,28.061181443443207,nan,nan,nan,nan,nan,nan,nan
28074,22.48606629012656,23.201206335889548,23.84562925320594,23.16759388937682,23.13350084208387,22.605911542801824,23.17390912545076,nan,nan,nan,nan,nan,nan,nan
38147,27.24879806411633,27.876147812907345,28.657908516372697,29.143501250622375,28.32356210138515,28.495669464965854,28.857276636859932,nan,nan,nan,nan,nan,nan,nan
53501,26.195822609209557,26.563888972834686,27.44212816160464,27.272238082549865,26.76699471246912,26.815795658862672,27.5383667693284,nan,nan,nan,nan,nan,nan,nan
68797,27.153780002086947,27.887158245945425,28.159829038850393,26.60920075734013,26.806804267685585,25.878386527670376,26.238140487134867,nan,nan,nan,nan,nan,nan,nan
164,29.70602266062484,28.87751049892854,28.370999730126567,27.481221268142644,27.673218762560317,26.66740251800258,26.10004262425667,nan,nan,nan,nan,nan,nan,nan
12402,27.471310809020693,27.049259627336337,27.417232167185443,25.948514418745095,26.216346593788394,25.774675725683547,26.21206486722215,nan,nan,nan,nan,nan,nan,nan
13329,26.188739378183186,27.010882710999223,27.82645144632833,27.998632872134475,27.447965784839788,27.704383564320164,28.122891522921083,nan,nan,nan,nan,nan,nan,nan
1045,26.48864446168261,27.080137014308068,27.654718325772077,27.896831051903856,27.071624426545704,27.01560819547183,27.113653911206196,nan,nan,nan,nan,nan,nan,nan
31747,27.607019444775034,28.905473443459105,28.968323646012056,27.534181962929093,27.789504030872905,27.386172740823344,27.81049493035268,nan,nan,nan,nan,nan,nan,nan
40579,25.379811892592457,26.170315718767714,26.23996910308585,24.298797975158973,24.64455471166852,23.68676249538751,24.137507454395024,nan,nan,nan,nan,nan,nan,nan
47509,27.39783472619677,28.05264372599299,28.83558664215126,28.843784947022744,28.43199527059229,28.49822131173234,28.21639185251694,nan,nan,nan,nan,nan,nan,nan
58453,25.73681076618513,25.90745936174422,26.51070682673492,25.39164139794573,25.20242111681133,25.114403399300482,25.85957839117611,nan,nan,nan,nan,nan,nan,nan
38108,27.370200894482217,28.09929790256997,29.0505653302307,28.913818258472656,28.654811171616657,28.485309676355694,29.039184731572224,nan,nan,nan,nan,nan,nan,nan
4286,28.16882726085531,28.828379899718126,29.588271365863083,28.74791086159681,28.753761481739488,28.4409217521023,27.907474710741763,nan,nan,nan,nan,nan,nan,nan
